"","BigFrac_Amphi","BigFrac_Hemi","BigFrac_Snail","BigFrac_Spider"
"BigFrac_Amphi",1,0.161302861937717,0.196170488491675,0.144901396518413
"BigFrac_Hemi",0.161302861937717,1,-0.00638528292292046,0.00555895400093636
"BigFrac_Snail",0.196170488491675,-0.00638528292292046,1,0.0813078055940691
"BigFrac_Spider",0.144901396518413,0.00555895400093636,0.0813078055940691,1
