"","Amphi.mass","Hemi.mass","Spider.mass","Snail.mass"
"Amphi.mass",1,0.0495520121469212,0.414482316660698,0.279155546970802
"Hemi.mass",0.0495520121469212,1,0.234348702109539,0.0542661254716306
"Spider.mass",0.414482316660698,0.234348702109539,1,0.085024169604795
"Snail.mass",0.279155546970802,0.0542661254716306,0.085024169604795,1
